,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Entertainment: Video Games,"In &quot;Team Fortress 2&quot;, how much health does a scout have when overhealed?",185,"['215', '195', '225']"
1,multiple,hard,Entertainment: Music,Who sings the rap song &quot;Secret Wars Part 1&quot;?,The Last Emperor,"['MC Frontalot', 'Busdriver', 'Masta Killa']"
2,multiple,hard,Geography,"What national museum will you find in Cooperstown, New York?",National Baseball Hall of Fame,"['Metropolitan Museum of Art', 'National Toy Hall of Fame', 'Museum of Modern Art']"
3,multiple,easy,Entertainment: Japanese Anime &amp; Manga,What color is Ryūko Matoi&#039;s half of the Scissor Blade in the anime Kill la KIll?,Red,"['Green', 'Blue', 'Purple']"
4,multiple,medium,Entertainment: Cartoon &amp; Animations,"In &quot;My Little Pony: Friendship is Magic&quot;, which of these ponies represents the quality of honesty?",Applejack,"['Twilight Sparkle', 'Pinkie Pie', 'Rarity']"
5,multiple,easy,Celebrities,Neil Hamburger is played by which comedian?,Gregg Turkington,"['Nathan Fielder', 'Tim Heidecker', 'Todd Glass']"
6,multiple,medium,Entertainment: Music,"Which band released songs such as &quot;Electric Feel&quot;, &quot;Kids&quot;, and &quot;Time to Pretend&quot;?",MGMT,"['Passion Pit', 'Phoenix', 'Franz Ferdinand']"
7,multiple,medium,History,Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?,Brazil,"['India', 'Mozambique', 'Madagascar']"
8,multiple,easy,Entertainment: Video Games,"In Animal Crossing, who is the manager of the town shop?",Tom Nook,"['Mr. Resetti', 'Gracie', 'K.K. Slider']"
9,multiple,hard,History,When did the French Revolution begin?,1789,"['1823', '1756', '1799']"
10,boolean,easy,Entertainment: Video Games,&quot;Undertale&quot; is an RPG created by Toby Fox and released in 2015.,True,['False']
11,multiple,medium,Science &amp; Nature,How many degrees Fahrenheit is 100 degrees Celsius? ,212,"['326', '100', '451']"
12,multiple,medium,Entertainment: Film,Who performed the opening theme song for the James Bond 007 movie &quot;Goldfinger&quot;?,Shirley Basey,"['Tom Jones', 'John Barry', 'Sheena Easton']"
13,multiple,medium,Entertainment: Music,"Irish musician Hozier released a music track in 2013 titled, &quot;Take Me to ______&quot;",Church,"['Mosque', 'Synagogue', 'Temple']"
14,multiple,easy,Entertainment: Film,The 2016 Disney animated film &#039;Moana&#039; is based on which culture?,Polynesian,"['Native American', 'Japanese', 'Nordic']"
15,multiple,medium,Entertainment: Video Games,"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Tetris,"['Jenga', 'Boulder Dash', 'Puzzled']"
16,multiple,easy,Entertainment: Cartoon &amp; Animations,Which &#039;Family Guy&#039; character got his own spin-off show in 2009?,Cleveland Brown,"['Glenn Quagmire', 'Joe Swanson', 'The Greased-up Deaf Guy']"
17,multiple,medium,Geography,Which of these Mediterranian islands is under the sovereign rule of France?,Corsica,"['Majorca', 'Sardinia', 'Malta']"
18,multiple,medium,Entertainment: Japanese Anime &amp; Manga,Which of the following manga have the most tankouban volumes?,Golgo 13,"['JoJo&#039;s Bizarre Adventure', 'Detective Conan', 'One Piece']"
19,boolean,medium,Vehicles,Bugatti was an Italian car manufacturer.,False,['True']
20,multiple,easy,Entertainment: Cartoon &amp; Animations,"In &quot;Avatar: The Last Airbender&quot;, which element does Aang begin to learn after being defrosted?",Water,"['Air', 'Earth', 'Fire']"
21,multiple,hard,Entertainment: Video Games,"In the video game &quot;Metal Gear Solid&quot;, what did Revolver Ocelot consider the greatest handgun ever made?",Colt Single Action Army,"['Colt Python', 'Colt M1892', 'Colt 1851 Navy Revolver']"
22,multiple,medium,Sports,Which car manufacturer won the 2017 24 Hours of Le Mans?,Porsche,"['Toyota', 'Audi', 'Chevrolet']"
23,multiple,easy,Entertainment: Video Games,"In the Super Smash Bros. series, which character was the first one to return to the series after being absent from a previous game?",Dr. Mario,"['Mewtwo', 'Lucas', 'Roy']"
24,multiple,hard,Entertainment: Board Games,"In Magic: The Gathering, what card&#039;s flavor text is &quot;Catch!&quot;?",Lava Axe,"['Stone-Throwing Devils', 'Ember Shot', 'Throwing Knife']"
25,multiple,hard,Entertainment: Music,Where was Nicki Minaj born?,Trinidad and Tobago,"['Haiti', 'Saint Lucia', 'Grenada']"
26,multiple,hard,Entertainment: Video Games,"In Super Mario RPG: Legend of The Seven Stars, what is Geno&#039;s real name?",♡♪!?,"['Geno', 'Exor', 'Smithy']"
27,multiple,medium,Entertainment: Film,In the 1979 British film &quot;Quadrophenia&quot; what is the name of the main protagonist?,Jimmy Cooper,"['Pete Townshend', 'Franc Roddam', 'Archie Bunker']"
28,multiple,easy,Entertainment: Video Games,Which Kirby game first introduced Copy Abilities?,Kirby&#039;s Adventure,"['Kirby Super Star', 'Kirby&#039;s Dream Land 2', 'Kirby&#039;s Dream Land']"
29,boolean,easy,Science: Computers,The first IBM PC was released in 1981.,True,['False']
30,multiple,easy,Science &amp; Nature,Which element has the chemical symbol &#039;Fe&#039;?,Iron,"['Gold', 'Silver', 'Tin']"
31,multiple,easy,General Knowledge,The Flag of the European Union has how many stars on it?,12,"['10', '14', '16']"
32,multiple,medium,Geography,How many states are in Australia?,6,"['7', '8', '5']"
33,multiple,easy,General Knowledge,What is &quot;dabbing&quot;?,A dance,"['A medical procedure', 'A sport', 'A language']"
34,multiple,medium,Science &amp; Nature,What is radiation measured in?,Gray ,"['Watt', 'Decibel', 'Kelvin']"
35,boolean,easy,Science: Computers,A Mac is not a PC,False,['True']
36,multiple,medium,Science: Mathematics,What is the alphanumeric representation of the imaginary number?,i,"['e', 'n', 'x']"
37,multiple,medium,Entertainment: Television,Who was the original voice actor of Shaggy Rogers in Scooby-Doo?,Casey Kasem,"['Dante Basco', 'Billy West', 'Frank Welker']"
38,boolean,easy,Entertainment: Film,"Han Solo&#039;s co-pilot and best friend, &quot;Chewbacca&quot;, is an Ewok.",False,['True']
39,boolean,easy,Science: Computers,&quot;HTML&quot; stands for Hypertext Markup Language.,True,['False']
40,multiple,easy,History,How many manned moon landings have there been?,6,"['1', '3', '7']"
41,multiple,easy,Entertainment: Comics,The main six year old protagonist in Calvin and Hobbes is named after what theologian?,John Calvin,"['Calvin Klein', 'Calvin Coolidge', 'Phillip Calvin McGraw']"
42,multiple,medium,Science &amp; Nature,The medial meniscus forms which part of what joint in the human body?,Knee,"['Elbow', 'Ankle', 'Shoulder']"
43,multiple,hard,History,"Who is the creator of the soft drink, Dr. Pepper?",Charles Alderton,"['James Wellington', 'Johnson Hinsin', 'Boris Heviltik']"
44,boolean,easy,General Knowledge,"&quot;27 Club&quot; is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",True,['False']
45,multiple,medium,Entertainment: Video Games,"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",An exclamation point,"['A question mark', 'The letter B', 'Nothing']"
46,boolean,easy,Science &amp; Nature,An average human can go two weeks without water.,False,['True']
47,multiple,medium,Entertainment: Television,What episode of &quot;Mr. Bean&quot; saw him trying to prevent people from seeing him naked?,Mr. Bean in Room 426,"['Mr. Bean Goes to Town', 'The Trouble with Mr. Bean', 'Back to School Mr. Bean']"
48,multiple,medium,General Knowledge,Which of these American singers and songwriters won a Nobel Prize in Literature?,Bob Dylan,"['Buddy Holly', 'Johnny Cash', 'Alice Cooper']"
49,multiple,medium,Entertainment: Film,"Which iconic character is featured in movies such as &quot;The Enforcer&quot;, &quot;Sudden Impact&quot;, and &quot;The Dead Pool&quot;?",Dirty Harry,"['Indiana Jones', 'James Bond', 'Harry Potter']"
